"Detector Number","Name","Phi (rad)","Elevation (rad)","Rotation (rad)","Distance (cm)","Width (cm)","Height (cm)","In Use?"
1,1,-0.6283190000,0.0000000000,-0.7853981600,39.500000,15.819000,15.819000,1.000000
2,2,-0.9424780000,0.2792530000,-0.7853981600,42.500000,15.819000,15.819000,1.000000
3,3,-1.2566400000,0.5585050000,-0.7853981600,45.500000,15.819000,15.819000,1.000000
4,4,-1.8849600000,0.5585050000,-0.7853981600,45.500000,15.819000,15.819000,1.000000
5,5,-2.1991100000,0.2792530000,-0.7853981600,42.500000,15.819000,15.819000,1.000000
6,6,-2.5132700000,0.0000000000,-0.7853981600,39.500000,15.819000,15.819000,1.000000
7,7,-2.1991100000,-0.2792530000,-0.7853981600,42.500000,15.819000,15.819000,1.000000
8,8,-1.8849600000,-0.5585050000,-0.7853981600,45.500000,15.819000,15.819000,1.000000
9,9,-1.2566400000,-0.5585050000,-0.7853981600,45.500000,15.819000,15.819000,1.000000
10,10,1.5708000000,-0.2792530000,-0.7853981600,42.500000,15.819000,15.819000,1.000000
11,11,-1.8849600000,0.0000000000,-0.7853981600,39.500000,15.819000,15.819000,1.000000
12,12,-1.2566400000,0.0000000000,-0.7853981600,39.500000,15.819000,15.819000,1.000000
13,13,-1.5708000000,-0.2792530000,-0.7853981600,42.500000,15.819000,15.819000,1.000000
14,14,-1.5708000000,0.2792530000,-0.7853981600,42.500000,15.819000,15.819000,1.000000
